Date,Receipt number,Receipt type,Gross sales,Discounts,Net sales,Taxes,Total collected,Cost of goods,Gross profit,Payment type,Description,Dining option,POS,Store,Cashier name,Customer name,Customer contacts,Status
8/29/20 6:49 PM,5-2883,Sale,84.50,0.00,84.50,0.00,84.50,0.00,84.50,Card,"1 x Chocolate (Iced), 1 x Tea (Iced), 1 x Teh Tarik (Iced), 1 x Latte (Hot), 2 x Carbonara (Chicken), 1 x Butter Chicken, 1 x Cheese Kaya Toast, 1 x Chocolate Nutella",Table 6,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 6:46 PM,5-2882,Sale,20.50,0.00,20.50,0.00,20.50,0.00,20.50,Cash,"1 x Butter Chicken, 1 x Lemon Tea (Iced)",Table 11,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 6:45 PM,5-2881,Sale,30.00,0.00,30.00,0.00,30.00,0.00,30.00,Card,"1 x Mac & Cheese (Chicken), 1 x Teh Tarik (Iced), 1 x Chocolate Nutella",Dine in,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 6:44 PM,5-2880,Sale,60.00,0.00,60.00,0.00,60.00,0.00,60.00,Cash,"1 x Creme Brulee Latte (Iced), 1 x Carbonara (Chicken), 1 x Thai Basil Chicken, 1 x Spring Rolls, 1 x Vanilla Latte (Iced)",Dine in,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 6:41 PM,5-2879,Sale,65.00,0.00,65.00,0.00,65.00,0.00,65.00,Card,"1 x Carbonara (Beef), 1 x Fried Kuay Teow (Seafood), 1 x Mineral Water (Iced), 1 x Peach Tea (Iced), 1 x Kinder Bueno Affle, 1 x Chocolate Nutella",Dine in,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 6:33 PM,5-2878,Sale,14.50,0.00,14.50,0.00,14.50,0.00,14.50,Cash,1 x Masak Lemak Cili Api (Beef),Table 2,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 6:30 PM,5-2877,Sale,14.00,0.00,14.00,0.00,14.00,0.00,14.00,Cash,1 x Bulgogi Beef Fries,Table 16,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 6:29 PM,5-2876,Sale,31.00,0.00,31.00,0.00,31.00,0.00,31.00,Cash,"1 x Mushroom on Toast, 1 x Carbonara (Chicken), 2 x Mineral Water (Iced)",Table 16,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 6:28 PM,5-2875,Sale,14.00,0.00,14.00,0.00,14.00,0.00,14.00,Cash,1 x Creamy Curry (Beef),Table 1,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 6:27 PM,5-2874,Sale,15.00,0.00,15.00,0.00,15.00,0.00,15.00,Card,"1 x Tomyam Bihun (Chicken), 1 x A&W Root Beer",Table 15,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 6:27 PM,5-2873,Sale,22.00,0.00,22.00,0.00,22.00,0.00,22.00,Card,"1 x Aglio Olio (Seafood), 1 x Peach Tea (Iced)",Table 15,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 6:18 PM,5-2872,Sale,27.00,0.00,27.00,0.00,27.00,0.00,27.00,Cash,"1 x Mee Goreng (Seafood), 1 x Stoner Fries",Table 12,POS 2020,Glaze Eatery,Owner,,,Closed
